duration,count,mean,min,sum
6,1,-143.89000000000124,-143.89000000000124,-143.89000000000124
9,1,-103.3199999999988,-103.3199999999988,-103.3199999999988
4,11,-78.13818181818202,-184.7299999999996,-859.5200000000023
3,25,-70.58720000000066,-155.59999999999943,-1764.6800000000167
2,43,-61.905116279069766,-215.6999999999971,-2661.92
5,3,-55.9366666666665,-133.04000000000087,-167.8099999999995
11,2,-21.449999999999818,-32.26999999999862,-42.899999999999636
8,3,-19.08333333333303,-27.139999999999414,-57.24999999999909
7,2,-12.330000000001746,-16.410000000000764,-24.660000000003492
